data,detalhes,tipo,5_dia_util,transacoes_negocio
2015-07-29,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,3.003.731
2015-07-30,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.565.084
2015-07-31,Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Alto Risco,,4.780.782
2015-08-01,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Atenção,,1.262.876
2015-08-02,Utilização de Caixa Eletrônico; Processo de Migração/Incorporação;,Atenção,,642.226
2015-08-03,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.486.009
2015-08-04,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios;,Atenção,,5.472.025
2015-08-05,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.607.192
2015-08-06,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.555.187
2015-08-07,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,1,6.145.213
2015-08-08,Congelamento do ambiente; Data comemorativa; Dia dos Pais; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,1.313.189
2015-08-09,Congelamento do ambiente; Data comemorativa; Dia dos Pais; Aumento de transações CDO e ATM; Utilização de Caixa Eletrônico;,Congelamento,,636.528
2015-08-10,Movimento Segunda-Feira; Arrecadação de Convênios; Arrecadação de GPS;,Alto Risco,,7.482.176
2015-08-11,Dia Produção Sisbr; Movimento Batch – Compe Inferior;,Normal,,5.592.832
2015-08-12,,Normal,,4.962.924
2015-08-13,Dia Produção Sisbr;,Normal,,4.396.495
2015-08-14,,Normal,,4.907.859
2015-08-15,Utilização de Caixa Eletrônico; ,Normal,,1.110.108
2015-08-16,Utilização de Caixa Eletrônico; ,Normal,,552.882
2015-08-17,Movimento Segunda-Feira; Movimento Batch – Empréstimo 0001;,Alto Risco,,6.304.496
2015-08-18,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,4.973.519
2015-08-19,,Normal,,4.780.375
2015-08-20,Dia Produção Sisbr; Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,5.645.544
2015-08-21,,Normal,,4.857.161
2015-08-22,Utilização de Caixa Eletrônico; ,Normal,,1.095.610
2015-08-23,Utilização de Caixa Eletrônico; ,Normal,,566.334
2015-08-24,Movimento Segunda-Feira; ,Alto Risco,,5.553.125
2015-08-25,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.986.942
2015-08-26,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.588.141
2015-08-27,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.467.927
2015-08-28,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,4.719.349
2015-08-29,Utilização de Caixa Eletrônico; ,Normal,,1.122.952
2015-08-30,Utilização de Caixa Eletrônico; ,Normal,,613.561
2015-08-31,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios; Liberação Operações de Crédito; Grande Movimento Batch; Processo de Migração/Incorporação;,Alto Risco,,6.138.385
2015-09-01,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; Processo de Migração/Incorporação;,Atenção,,5.929.338
2015-09-02,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.323.971
2015-09-03,Dia Produção Sisbr; Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,5.286.018
2015-09-04,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,6.260.852
2015-09-05,Congelamento do ambiente; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; Previsão de grande movimento; Antecede feriado;,Congelamento,,1.328.396
2015-09-06,Congelamento do ambiente; Utilização de Caixa Eletrônico; Aumento de transações CDO e ATM; Previsão de grande movimento; Antecede feriado;,Congelamento,,502.880
2015-09-07,Congelamento do ambiente; Feriado; Independência do Brasil; Aumento de transações CDO e ATM;,Feriado,,860.487
2015-09-08,Dia Produção Sisbr; Movimento Batch – Compe Inferior; Pagamento de benefícios INSS; Arrecadação de Convênios; Previsão de grande movimento; Pós feriado;,Alto Risco,1,7.260.814
2015-09-09,Arrecadação de Convênios;,Normal,,5.790.810
2015-09-10,Dia Produção Sisbr; Arrecadação de Convênios; Arrecadação de GPS;,Normal,,6.282.934
2015-09-11,,Normal,,5.473.789
2015-09-12,Utilização de Caixa Eletrônico;,Normal,,1.207.329
2015-09-13,Utilização de Caixa Eletrônico;,Normal,,596.588
2015-09-14,Movimento Segunda-Feira;,Alto Risco,,6.029.332
2015-09-15,Dia Produção Sisbr; Movimento Batch – Empréstimo 0001;,Normal,,5.802.678
2015-09-16,Movimento Batch – Empréstimo 0001;,Normal,,4.941.985
2015-09-17,Dia Produção Sisbr,Normal,,4.744.704
2015-09-18,Arrecadação de GPS; Arrecadação de DARF e DAS; Pagamento de leite das Cooperativas Rurais; ,Atenção,,5.472.008
2015-09-19,Utilização de Caixa Eletrônico;,Normal,,1.148.539
2015-09-20,Utilização de Caixa Eletrônico;,Normal,,603.135
2015-09-21,Movimento Segunda-Feira; Dia de maior movimento do Sicoobnet Empresarial;,Alto Risco,,6.363.393
2015-09-22,Dia Produção Sisbr;,Normal,,4.933.051
2015-09-23,,Normal,,4.572.885
2015-09-24,Dia Produção Sisbr; Pagamento de benefícios INSS;,Normal,,4.350.138
2015-09-25,Pagamento de benefícios INSS; Arrecadação de Convênios;,Normal,,292.486
2015-09-26,Utilização de Caixa Eletrônico;,Normal,,1.621.685
2015-09-27,Utilização de Caixa Eletrônico;,Normal,,649.336
2015-09-28,Movimento Segunda-Feira; Pagamento de benefícios INSS; Arrecadação de Convênios;,Alto Risco,,6.951.547
